<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VND,2019-07-15,8.8776,8.9369,8.8182,8.8776,249820
VND,2019-07-16,8.8776,8.9963,8.8776,8.9666,247350
VND,2019-07-17,8.9666,9.1745,8.9666,9.1151,649960
VND,2019-07-18,9.1151,9.1151,8.9963,9.0557,186390
VND,2019-07-19,9.0557,9.1151,9.026,9.0854,305730
VND,2019-07-22,9.0854,9.0854,8.8776,8.9073,333330
VND,2019-07-23,8.9073,9.026,8.7885,8.9073,404800
VND,2019-07-24,8.9073,8.9073,8.6697,8.8776,712860
VND,2019-07-25,8.8776,8.8776,8.6697,8.8479,301730
VND,2019-07-26,8.8479,8.8479,8.6697,8.8479,299310
VND,2019-07-29,8.8479,8.8479,8.6697,8.8182,201640
VND,2019-07-30,8.8182,8.8182,8.6994,8.7885,229950
VND,2019-07-31,8.7885,8.7885,8.64,8.7885,360560
VND,2019-08-01,8.7885,8.8182,8.6994,8.7588,89870
VND,2019-08-02,8.7588,8.7885,8.5807,8.7885,396420
VND,2019-08-05,8.7885,8.7885,8.6697,8.7588,261280
VND,2019-08-06,8.7588,8.7588,8.4916,8.7291,401470
VND,2019-08-07,8.7291,8.7588,8.551,8.6994,335360
VND,2019-08-08,8.6994,8.6994,8.551,8.6697,431780
VND,2019-08-09,8.6697,8.7291,8.6103,8.6697,235300
VND,2019-08-12,8.6697,8.6994,8.64,8.6697,143350
VND,2019-08-13,8.6697,8.6697,8.5213,8.6103,217470
VND,2019-08-14,8.6103,8.6994,8.5807,8.6103,123070
VND,2019-08-15,8.6103,8.6994,8.4025,8.6994,371730
VND,2019-08-16,8.6994,9.1151,8.551,8.7291,1005620
VND,2019-08-19,8.7291,8.9073,8.7291,8.7291,116300
VND,2019-08-20,8.7291,8.8479,8.6994,8.6994,116800
VND,2019-08-21,8.6994,8.6994,8.6103,8.64,261210
VND,2019-08-22,8.64,8.6994,8.5807,8.6697,189160
VND,2019-08-23,8.6697,8.6697,8.551,8.551,95590
VND,2019-08-26,8.551,8.551,8.4025,8.4916,269140
VND,2019-08-27,8.4916,8.551,8.2837,8.2837,489410
VND,2019-08-28,8.2837,8.3728,8.2541,8.3431,120590
VND,2019-08-29,8.3431,8.4025,8.0759,8.3134,350670
VND,2019-08-30,8.3134,8.3431,8.1947,8.3134,311890
VND,2019-09-03,8.3134,8.3134,8.1353,8.2541,269100
VND,2019-09-04,8.2541,8.2541,8.0462,8.1947,450300
VND,2019-09-05,8.1947,8.1947,8.0462,8.165,285960
VND,2019-09-06,8.165,8.165,7.7196,8.165,1197510
VND,2019-09-09,8.165,8.1947,7.9868,8.1947,389860
VND,2019-09-10,8.1947,8.1947,7.9868,8.165,410130
VND,2019-09-11,8.165,8.3431,8.0165,8.3134,623300
VND,2019-09-12,8.3134,8.3134,8.2244,8.3134,190040
VND,2019-09-13,8.3134,8.3728,8.2541,8.3431,296830
VND,2019-09-16,8.3431,8.4916,8.3431,8.3728,501380
VND,2019-09-17,8.3728,8.4322,8.2541,8.2541,297940
VND,2019-09-18,8.2541,8.4025,8.2541,8.3134,224340
VND,2019-09-19,8.3134,8.3431,8.1947,8.3134,367330
VND,2019-09-20,8.3134,8.3728,8.2541,8.2837,205680
VND,2019-09-23,8.2837,8.3728,8.2541,8.2837,254980
VND,2019-09-24,8.2837,8.3134,8.2244,8.2837,203250
VND,2019-09-25,8.2837,8.2837,8.2244,8.2837,82120
VND,2019-09-26,8.2837,8.5807,8.2837,8.4619,756120
VND,2019-09-27,8.4619,8.7291,8.4619,8.64,501580
VND,2019-09-30,8.64,8.7588,8.5807,8.5807,372180
VND,2019-10-01,8.5807,8.5807,8.3431,8.4025,757020
VND,2019-10-02,8.4025,8.4322,8.3431,8.3728,537000
VND,2019-10-03,8.3728,8.3728,8.2244,8.3728,550280
VND,2019-10-04,8.3728,8.4322,8.2837,8.3728,395810
VND,2019-10-07,8.3728,8.3728,8.1947,8.3134,308870
VND,2019-10-08,8.3134,8.3134,8.165,8.3134,418270
VND,2019-10-09,8.3134,8.3134,8.2244,8.2837,139340
VND,2019-10-10,8.2837,8.2837,8.165,8.2837,362680
VND,2019-10-11,8.2837,8.2837,8.1353,8.2541,377170
VND,2019-10-14,8.2541,8.2837,7.8978,8.0165,1866180
VND,2019-10-15,8.0165,8.1947,8.0165,8.1947,228470
VND,2019-10-16,8.1947,8.1947,8.0165,8.1947,278000
VND,2019-10-17,8.1947,8.1947,8.0165,8.1353,355560
VND,2019-10-18,8.1353,8.1353,8.0165,8.0759,259770
VND,2019-10-21,8.0759,8.165,7.8978,8.165,432450
VND,2019-10-22,8.165,8.165,8.0165,8.165,247760
VND,2019-10-23,8.165,8.165,8.0759,8.165,127930
VND,2019-10-24,8.165,8.165,8.0165,8.165,294760
VND,2019-10-25,8.165,8.165,8.0165,8.0165,356480
VND,2019-10-28,8.0165,8.0759,7.9868,8.0759,224820
VND,2019-10-29,8.0759,8.0759,7.9572,8.0759,472760
VND,2019-10-30,8.0759,8.1056,7.9868,8.0759,392690
VND,2019-10-31,8.0759,8.0759,7.9868,8.0759,288060
VND,2019-11-01,8.0759,8.1353,7.9868,8.1353,315980
VND,2019-11-04,8.1353,8.1947,8.1056,8.165,314490
VND,2019-11-05,8.165,8.2244,8.1353,8.1947,115590
VND,2019-11-06,8.1947,8.2541,8.0759,8.1947,391690
VND,2019-11-07,8.1947,8.3728,8.1353,8.3728,598900
VND,2019-11-08,8.3728,8.5213,8.3728,8.4322,761260
VND,2019-11-11,8.4322,8.4619,8.3134,8.4322,555880
VND,2019-11-12,8.4322,8.4322,8.3134,8.4025,521640
VND,2019-11-13,8.4025,8.4025,8.3134,8.3728,313470
VND,2019-11-14,8.3728,8.4025,8.2541,8.3728,326970
VND,2019-11-15,8.3728,8.4322,8.2541,8.4322,506950
VND,2019-11-18,8.4322,8.4322,8.3134,8.3134,295580
VND,2019-11-19,8.3134,8.3431,8.2541,8.3431,263700
VND,2019-11-20,8.3431,8.3728,8.3134,8.3134,191360
VND,2019-11-21,8.3134,8.3134,8.2541,8.3134,175180
VND,2019-11-22,8.3134,8.3134,8.0165,8.3134,277650
VND,2019-11-25,8.3134,8.3134,8.1947,8.2837,114710
VND,2019-11-26,8.2837,8.3134,8.2541,8.3134,166310
VND,2019-11-27,8.3134,8.3134,8.2541,8.2837,240410
VND,2019-11-28,8.2837,8.2837,8.165,8.2541,104960
VND,2019-11-29,8.2541,8.2541,8.0759,8.2244,255980
VND,2019-12-02,8.2244,8.2244,8.0759,8.2244,186390
VND,2019-12-03,8.2244,8.2244,8.1056,8.1947,127490
VND,2019-12-04,8.1947,8.2244,8.1056,8.2244,120830
VND,2019-12-05,8.2244,8.2244,8.1056,8.2244,131810
VND,2019-12-06,8.2244,8.2541,8.1056,8.2244,91840
VND,2019-12-09,8.2244,8.2244,8.165,8.2244,113990
VND,2019-12-10,8.2244,8.2837,8.1947,8.2541,344030
VND,2019-12-11,8.2541,8.2541,8.165,8.2541,67310
VND,2019-12-12,8.2541,8.5807,8.1353,8.5807,204240
VND,2019-12-13,8.5807,8.5807,8.3431,8.5213,206520
VND,2019-12-16,8.5213,8.551,8.4916,8.5213,166860
VND,2019-12-17,8.5213,8.5807,8.4322,8.5807,354360
VND,2019-12-18,8.5807,8.6103,8.4619,8.6103,156730
VND,2019-12-19,8.6103,8.64,8.4916,8.64,160790
VND,2019-12-20,8.64,8.64,8.3134,8.6103,417790
